place_id,name,name_roman,city,full_address,gps_lat,gps_lng,website_url,naver_map_url,booking_url,active,boarding,house_sitting,drop_in_visit,doggy_day_care,dog_walking,grooming,pet_training,vet,pet_types,price_from_krw,price_note,languages_spoken,contact_methods
1,개스트하우스,Gaest House,Jeju City,제주 제주시 동광로6길 33 2층 (이도이동),33.4995012,126.5336324,,https://pcmap.place.naver.com/place/1654579915/home,http://pf.kakao.com/_bDIxkG,,true,false,false,true,,,,,dogs,25000,"Day care 1 day; boarding 30,000-35,000 per 24h (dogs under 6kg)",Korean,mobile_phone:0507-1354-3282;instagram:dogsthouse_jeju;kakaotalk:http://pf.kakao.com/_bDIxkG
2,댕댕놀이터,Daengdaeng Noriteo,Jeju City,제주 제주시 도근내길 56 1층 (내도동),33.491915,126.4369423,https://blog.naver.com/mjnliz,https://pcmap.place.naver.com/place/1815395828/home,http://talk.naver.com/w4vwhn,,true,false,false,true,true,true,,,dogs,24000,"Day care full day (to 4.9kg); boarding from 35,000/night",Korean,mobile_phone:0507-1439-7044;instagram:dd_noriter;naver_talk:http://talk.naver.com/w4vwhn
3,멍더랜드,Meong The Land,Jeju City,제주 제주시 월광로 147 (노형동),33.4921521,126.4733829,https://blog.naver.com/ajdejfosem,https://pcmap.place.naver.com/place/1460408016/home,,,true,,,true,,true,,,dogs,20000,"Day care day pass; boarding from 35,000/night; pickup 1,000/km",Korean,mobile_phone:064-713-1067;instagram:mungthe_land
4,놀멍애견유치원&호텔,Nolmeong Aegyeon Yuchiwon & Hotel,Jeju City,제주 제주시 도령로13길 13 2층 (연동),33.4925237,126.4880092,https://blog.naver.com/pokemon010,https://pcmap.place.naver.com/place/2090591693/home,,,true,,,true,,true,,,dogs,,,Korean,mobile_phone:0507-1479-0054;instagram:n_meong_jeju
5,베콩스 애견호텔&놀이터,Bekongs Aegyeon Hotel & Noriteo,Jeju City,제주 제주시 조천읍 신북로 479-2 2층 (함덕),33.5435514,126.6616432,,https://pcmap.place.naver.com/place/1769253582/home,https://m.booking.naver.com/booking/6/bizes/855224/search,,true,false,false,,true,true,,,dogs,45000,"Boarding small room/night; walk 8,000/hr; playground 5,000/hr",Korean,mobile_phone:0507-1323-3560;instagram:vacance_jeju;naver_talk:http://talk.naver.com/w4ho4j
6,코기절미,Kogijeolmi,Jeju City,제주 제주시 월성로4길 70 (용담이동),33.4989195,126.4989038,,https://pcmap.place.naver.com/place/1243516961/home,,,true,,,true,,,,,dogs,,,Korean,mobile_phone:0507-1339-5740;instagram:corgi_jeolmi
7,앙리젤,Angrijel,Jeju City,제주 제주시 노형12길 23 지성빌딩 2층 (노형동),33.4826192,126.4804908,,https://pcmap.place.naver.com/place/1951173139/home,,,true,false,false,true,false,true,true,,dogs,,Day care/hotel for small dogs under 8kg,Korean,mobile_phone:0507-1320-0062;instagram:ang_rizel_salon
8,핏어팻,Pit-a-Pat,Jeju City,제주 제주시 연동7길 24 2층 (연동),33.4877532,126.4905944,,https://pcmap.place.naver.com/place/1657640918/home,,,true,,,true,,true,,,dogs,,,Korean,mobile_phone:0507-1410-3993;instagram:pitapat_dog_j
9,호야별 애견유치원,Hoyabyeol Aegyeon Yuchiwon,Jeju City,제주 제주시 원남2길 29 (도남동),33.4848144,126.5220487,,https://pcmap.place.naver.com/place/1754202114/home,http://pf.kakao.com/_xjWlGG,,true,,,true,,,true,,dogs,,100% advance booking,Korean,mobile_phone:0507-1485-0556;instagram:hoya.byeol;kakaotalk:http://pf.kakao.com/_xjWlGG
10,초록동산 강아지호텔&유치원,Chorokdongsan Gangaji Hotel & Yuchiwon,Jeju City,제주 제주시 오광로 93 1층 (이호이동),33.4878747,126.4595979,,https://pcmap.place.naver.com/place/2096926396/home,,,true,,,true,,,,,dogs,45000,"Day care 1 visit; large-dog boarding 80,000/night",Korean,mobile_phone:0507-1399-9076;instagram:jeju_greendog
11,꼬망스펫,Kkomangs Pet,Jeju City,제주 제주시 광평중길 69 3층 (노형동),33.4800797,126.4681778,,https://pcmap.place.naver.com/place/1940904888/home,,,true,,,true,,true,,,dogs,30000,Boarding/night under 5kg (bands to 10kg),Korean,mobile_phone:0507-1487-9883;instagram:ccomangs_pet
12,해피애견,Happy Aegyeon,Jeju City,제주 제주시 오라로1길 20-9 (오라삼동),33.4979903,126.5079383,http://제주해피애견.kr,https://pcmap.place.naver.com/place/1916450066/home,,,true,,,true,,true,,,dogs,,,Korean,mobile_phone:064-744-2702
13,도곤도곤 애견미용실,Dogondogon Aegyeon Miyongsil,Jeju City,제주 제주시 성신로1길 21 2층 203호 (연동),33.491852,126.4877027,,https://pcmap.place.naver.com/place/1604434591/home,,,,,,,,true,,,"dogs, cats",,"Advance booking with 20,000 deposit",Korean,instagram:dogon_dogjeju
14,몽쥬르,Mongjour,Jeju City,제주 제주시 신설로 55 한일베라체상가 101호 (이도이동),33.4941437,126.5485384,https://blog.naver.com/jeju_monjour,https://pcmap.place.naver.com/place/1344320680/home,https://m.booking.naver.com/booking/13/bizes/899424,,false,false,false,false,false,true,false,,"dogs, cats",55000,"VIP member groom pass (short coat); premium full groom 75,000; no weight surcharge",Korean,mobile_phone:010-9458-7036;instagram:monjour_salon;naver_talk:http://talk.naver.com/w41nr3
15,위드더독,With The Dog,Jeju City,제주 제주시 복지로북길 29 (도남동),33.4890775,126.5233919,,https://pcmap.place.naver.com/place/1805812926/home,https://open.kakao.com/o/sAigagFf,,,,,,,true,,,dogs,,"Stress-free grooming, booking via Kakao/DM",Korean,mobile_phone:0507-1391-2503;instagram:_with_the_dog;kakaotalk:https://open.kakao.com/o/sAigagFf;naver_talk:http://talk.naver.com/w4srlg
